ID;Start time;Completion time;Email;Name;Last modified time;"Ποια είναι η ηλικιακή σας ομάδα;
";"Ποιο είναι το φύλο σας;
";"Ποια είναι η επαγγελματική σας ιδιότητα;
";"Έχετε προηγούμενη εμπειρία με την τεχνητή νοημοσύνη;
";"Έχετε ασχοληθεί ποτέ με επενδύσεις ή συναλλαγές κρυπτονομισμάτων;
";Αυτόνομη οδήγηση;Αυτόνομη πτήση (σε εμπορικά αεροσκάφη);Υγειονομική περίθαλψη (διάγνωση ή θεραπεία);Συναλλαγές και επενδύσεις;Διαχείριση προσωπικών χρημάτων;"Θα εμπιστευόσασταν ένα μοντέλο τεχνητής νοημοσύνης να διαχειριστεί εξ ολοκλήρου τις επενδύσεις σας;
";"Τι πιστεύετε ότι είναι το μεγαλύτερο πλεονέκτημα της τεχνητής νοημοσύνης στις επενδύσεις;
";"Ποιο θεωρείτε το μεγαλύτερο μειονέκτημα της τεχνητής νοημοσύνης στις επενδύσεις;
";"Πιστεύετε ότι η τεχνητή νοημοσύνη είναι πιο αξιόπιστη από τους ανθρώπους στις επενδύσεις;
";"Ποιον θα εμπιστευόσασταν περισσότερο για τη διαχείριση των επενδύσεών σας;
";"Σε ποια από τις ακόλουθες καταστάσεις θεωρείτε ότι η τεχνητή νοημοσύνη υπερέχει σε σχέση με τους ανθρώπους;
";"Σε ποιες από τις ακόλουθες καταστάσεις θεωρείτε ότι οι άνθρωποι υπερέχουν σε σχέση με την τεχνητή νοημοσύνη;";"Θα ήσασταν πρόθυμοι να χρησιμοποιήσετε ένα συνδυαστικό μοντέλο όπου η τεχνητή νοημοσύνη συνεργάζεται με έναν άνθρωπο επενδυτή;
";"Θεωρείτε ότι η τεχνητή νοημοσύνη θα αντικαταστήσει πλήρως τους ανθρώπινους επενδυτές στο μέλλον;
";"Τι σας ανησυχεί περισσότερο σχετικά με τη χρήση της τεχνητής νοημοσύνης στις επενδύσεις;
";"Θεωρείτε την τεχνητή νοημοσύνη δίκαιη και αντικειμενική στη λήψη αποφάσεων;
";"Θα πληρώνατε για τη χρήση μιας υπηρεσίας τεχνητής νοημοσύνης για τη διαχείριση των επενδύσεών σας;
";"Ποιο ποσοστό των συνολικών επενδύσεών σας θα ήσασταν πρόθυμοι να αφήσετε στη διαχείριση μιας τεχνητής νοημοσύνης;
";Ταχύτητα λήψης αποφάσεων;Ακρίβεια προβλέψεων;Ανθεκτικότητα σε στρεσογόνες συνθήκες;Εμπιστοσύνη στη διαχείριση μεγάλων χρηματικών ποσών;"Θα εμπιστευόσασταν την τεχνητή νοημοσύνη να λαμβάνει επενδυτικές αποφάσεις σε μια οικονομική κρίση;
"
56;12/25/24 20:44:02;12/25/24 20:48:22;anonymous;;;41-50;Γυναίκα;Επαγγελματίας στον τομέα των οικονομικών;Μέτρια;Όχι;2;2;3;3;3;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Προσαρμογή σε μη αναμενόμενες καταστάσεις;Λήψη ηθικών αποφάσεων;";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Χρήση αναξιόπιστων δεδομένων;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Ναι;26-50%;3;3;3;3;Ναι
57;12/25/24 21:01:12;12/25/24 21:06:44;anonymous;;;31-40;Άνδρας;Επαγγελματίας στον τομέα της τεχνολογίας;Ελάχιστη;Ναι, περιστασιακά;2;1;4;3;1;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Πρόβλεψη τάσεων της αγοράς;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Την τεχνητή νοημοσύνη;"Ανίχνευση επενδυτικών ευκαιριών;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;5;2;2;2;Όχι
58;12/25/24 21:06:59;12/25/24 21:11:22;anonymous;;;Άνω των 50;Γυναίκα;Δ.Υ.;Καθόλου;Όχι;1;1;1;1;1;Όχι;"Δεν βλέπω πλεονεκτήματα;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Κανέναν;"Γρήγορη ανάλυση δεδομένων;";"Δημιουργικότητα στις στρατηγικές επενδύσεων;Λήψη ηθικών αποφάσεων;";Δεν είμαι σίγουρος/η;Όχι;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Χρήση αναξιόπιστων δεδομένων;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;0% (Καθόλου);1;1;1;1;Όχι
59;12/25/24 21:13:52;12/25/24 21:17:02;anonymous;;;41-50;Γυναίκα;Καθηγήτρια σε σχολείο;Ελάχιστη;Όχι;1;3;3;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Εξάρτηση από δεδομένα του παρελθόντος;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Λήψη ηθικών αποφάσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;1-25%;4;2;5;1;Όχι
60;12/25/24 21:23:59;12/25/24 21:32:01;anonymous;;;41-50;Γυναίκα;Καθηγήτρια Αγγλικών;Ελάχιστη;Όχι;3;1;2;3;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Ανίχνευση επενδυτικών ευκαιριών;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Ναι;Ίσως;"Χρήση αναξιόπιστων δεδομένων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;5;4;5;3;Όχι
61;12/25/24 21:33:01;12/25/24 21:36:58;anonymous;;;31-40;Γυναίκα;Εκπαιδευτικός ;Μέτρια;Όχι;3;3;2;2;2;Όχι;"Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Έναν έμπειρο επενδυτή;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Δεν είμαι σίγουρος/η;Ίσως;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;0% (Καθόλου);4;3;3;3;Δεν είμαι σίγουρος/η
62;12/25/24 21:39:18;12/25/24 21:44:17;anonymous;;;41-50;Γυναίκα;Νηπιαγωγός σε παιδικό σταθμό;Μέτρια;Όχι;1;1;1;1;1;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Κανέναν;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Λήψη ηθικών αποφάσεων;";Δεν είμαι σίγουρος/η;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;5;3;5;3;Δεν είμαι σίγουρος/η
63;12/25/24 21:42:33;12/25/24 21:47:33;anonymous;;;21-30;Γυναίκα;Φοιτητής/Φοιτήτρια;Ελάχιστη;Όχι;3;1;1;3;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Ναι;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Λήψη ηθικών αποφάσεων;";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;5;3;5;1;Ναι
64;12/25/24 22:08:32;12/25/24 22:11:26;anonymous;;;Κάτω από 20;Γυναίκα;Φοιτητής/Φοιτήτρια;Καθόλου;Όχι;1;1;1;1;1;Όχι;"Καλύτερη διαχείριση κινδύνου;Ταχύτερη ανάλυση δεδομένων;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Όχι;Κανέναν;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Δεν θεωρώ ότι υπερέχουν σε κάποια από αυτές;";Όχι;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Όχι;1-25%;1;1;1;1;Όχι
65;12/25/24 22:09:58;12/25/24 22:14:29;anonymous;;;21-30;Άνδρας;Φοιτητής/Φοιτήτρια;Ελάχιστη;Ναι, περιστασιακά;2;2;2;3;3;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Χρήση αναξιόπιστων δεδομένων;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Ναι;26-50%;4;3;3;3;Δεν είμαι σίγουρος/η
66;12/25/24 22:45:20;12/25/24 22:48:04;anonymous;;;31-40;Άνδρας;Επαγγελματίας στον τομέα των οικονομικών;Μέτρια;Όχι;2;1;3;3;4;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Όχι;Και τα δύο εξίσου;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;Γρήγορη ανάλυση δεδομένων;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Όχι;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;Χρήση αναξιόπιστων δεδομένων;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Εξαρτάται από το κόστος;1-25%;5;2;3;3;Όχι
67;12/25/24 22:47:25;12/25/24 22:49:53;anonymous;;;41-50;Άνδρας;Φοιτητής/Φοιτήτρια;Μέτρια;Όχι;3;4;2;3;3;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Ναι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Όχι;1-25%;3;3;3;3;Δεν είμαι σίγουρος/η
68;12/25/24 22:47:23;12/25/24 22:51:39;anonymous;;;Κάτω από 20;Άνδρας;Φοιτητής/Φοιτήτρια;Μέτρια;Ναι, περιστασιακά;2;2;3;1;3;Ίσως;"Καλύτερη διαχείριση κινδύνου;";"Εξάρτηση από δεδομένα του παρελθόντος;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;";"Λήψη ηθικών αποφάσεων;";Ναι;Ίσως;"Χρήση αναξιόπιστων δεδομένων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;26-50%;4;3;2;3;Ναι
69;12/25/24 23:05:39;12/25/24 23:08:59;anonymous;;;31-40;Άνδρας;Στρατιωτικός ;Καθόλου;Ναι, περιστασιακά;3;4;3;4;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Αποφυγή συναισθηματικών λαθών;";"Εξάρτηση από δεδομένα του παρελθόντος;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Ναι;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Ίσως;"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;26-50%;5;4;3;2;Ναι
70;12/25/24 23:26:51;12/25/24 23:33:20;anonymous;;;41-50;Γυναίκα;Δικηγόρος;Ελάχιστη;Όχι;2;3;4;3;3;Όχι;"Ταχύτερη ανάλυση δεδομένων;Πρόβλεψη τάσεων της αγοράς;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Ναι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;5;5;5;5;Δεν είμαι σίγουρος/η
71;12/25/24 23:30:02;12/25/24 23:35:06;anonymous;;;Κάτω από 20;Άνδρας;Φοιτητής/Φοιτήτρια;Μέτρια;Ναι, περιστασιακά;2;2;3;3;4;Όχι;"Αποφυγή συναισθηματικών λαθών;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;Αποφυγή απάτης;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Ίσως;"Κίνδυνος τεχνικών σφαλμάτων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;3;2;3;2;Δεν είμαι σίγουρος/η
72;12/25/24 23:37:39;12/25/24 23:42:02;anonymous;;;31-40;Άνδρας;Τουριστικά;Μέτρια;Όχι;2;3;2;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Καλύτερη διαχείριση κινδύνου;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Εξαρτάται από το κόστος;1-25%;5;4;2;2;Όχι
73;12/25/24 23:52:32;12/26/24 0:09:55;anonymous;;;Άνω των 50;Γυναίκα;Επαγγελματίας στον τομέα των οικονομικών;Καθόλου;Όχι;3;2;5;4;4;Ίσως;"Αποφυγή συναισθηματικών λαθών;Ταχύτερη ανάλυση δεδομένων;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Εξάρτηση από δεδομένα του παρελθόντος;";Όχι;Και τα δύο εξίσου;"Ανίχνευση επενδυτικών ευκαιριών;Δεν θεωρώ ότι υπερέχει σε κάποια από αυτές;";"Δημιουργικότητα στις στρατηγικές επενδύσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;1-25%;2;3;3;2;Δεν είμαι σίγουρος/η
74;12/26/24 0:17:42;12/26/24 0:22:58;anonymous;;;21-30;Άνδρας;Φοιτητής/Φοιτήτρια;Ελάχιστη;Όχι;3;3;2;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Έλλειψη διαφάνειας στη λήψη αποφάσεων;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Λήψη ηθικών αποφάσεων;Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Ναι;Ίσως;"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;0% (Καθόλου);5;3;3;1;Δεν είμαι σίγουρος/η
75;12/26/24 0:27:56;12/26/24 0:35:37;anonymous;;;41-50;Γυναίκα;Άνεργος/Άνεργη;Ελάχιστη;Όχι;1;2;2;2;1;Όχι;"Ταχύτερη ανάλυση δεδομένων;";"Εξάρτηση από δεδομένα του παρελθόντος;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;Λήψη ηθικών αποφάσεων;Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);";Ναι;Όχι;"Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;Χρήση αναξιόπιστων δεδομένων;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Όχι;0% (Καθόλου);2;2;2;1;Όχι
76;12/26/24 2:03:15;12/26/24 2:09:40;anonymous;;;31-40;Άνδρας;Ιδιωτικος υπαλληλος;Καθόλου;Όχι;1;1;1;1;1;Όχι;"Δεν βλέπω πλεονεκτήματα;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;";Όχι;Έναν έμπειρο επενδυτή;"Δεν θεωρώ ότι υπερέχει σε κάποια από αυτές;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Όχι;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Όχι;0% (Καθόλου);1;1;1;1;Όχι
77;12/26/24 2:22:08;12/26/24 2:26:29;anonymous;;;41-50;Άνδρας;Shipping;Μέτρια;Όχι;3;2;4;4;5;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Καλύτερη διαχείριση κινδύνου;";"Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Ναι;Την τεχνητή νοημοσύνη;"Γρήγορη ανάλυση δεδομένων;Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Ναι;Όχι;"Κίνδυνος τεχνικών σφαλμάτων;Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Ναι;51-75%;5;4;5;3;Ναι
78;12/26/24 6:11:48;12/26/24 6:18:17;anonymous;;;41-50;Γυναίκα;Επαγγελματίας στον τομέα των οικονομικών;Καθόλου;Όχι;1;1;3;3;1;Ίσως;"Ταχύτερη ανάλυση δεδομένων;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Λήψη ηθικών αποφάσεων;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Όχι;0% (Καθόλου);2;2;1;1;Όχι
79;12/26/24 10:10:07;12/26/24 10:14:24;anonymous;;;Άνω των 50;Άνδρας;Επαγγελματίας στον τομέα των οικονομικών;Ελάχιστη;Ναι, συχνά;3;3;3;4;4;Ίσως;"Αποφυγή συναισθηματικών λαθών;Ταχύτερη ανάλυση δεδομένων;";"Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;Εξάρτηση από δεδομένα του παρελθόντος;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Λήψη αποφάσεων χωρίς συναισθηματική επιρροή;Γρήγορη ανάλυση δεδομένων;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;Δημιουργικότητα στις στρατηγικές επενδύσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Εξαρτάται από το κόστος;1-25%;4;3;4;3;Δεν είμαι σίγουρος/η
80;12/26/24 10:30:10;12/26/24 10:32:13;anonymous;;;31-40;Γυναίκα;Επαγγελματίας στον τομέα της τεχνολογίας;Ελάχιστη;Όχι;3;3;3;3;3;Όχι;"Καλύτερη διαχείριση κινδύνου;";"Εξάρτηση από δεδομένα του παρελθόντος;";Όχι;Έναν έμπειρο επενδυτή;"Ανίχνευση επενδυτικών ευκαιριών;";"Δημιουργικότητα στις στρατηγικές επενδύσεων;";Όχι;Ίσως;"Χρήση αναξιόπιστων δεδομένων;";Ναι, τις περισσότερες φορές;Όχι;26-50%;3;4;3;4;Όχι
81;12/26/24 10:40:25;12/26/24 10:44:10;anonymous;;;21-30;Άνδρας;Επαγγελματίας στον τομέα των οικονομικών;Ελάχιστη;Όχι;3;3;2;2;2;Όχι;"Ταχύτερη ανάλυση δεδομένων;Καλύτερη διαχείριση κινδύνου;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Δυσκολία προσαρμογής σε μη αναμενόμενες συνθήκες;";Όχι;Έναν έμπειρο επενδυτή;"Γρήγορη ανάλυση δεδομένων;Ανίχνευση επενδυτικών ευκαιριών;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Δημιουργικότητα στις στρατηγικές επενδύσεων;";Ναι;Όχι;"Ανησυχίες για ασφάλεια και ιδιωτικότητα;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, καθώς ο προγραμματισμός της μπορεί να περιέχει προκαταλήψεις ή σφάλματα;Εξαρτάται από το κόστος;1-25%;5;3;2;2;Δεν είμαι σίγουρος/η
82;12/26/24 11:37:10;12/26/24 11:39:46;anonymous;;;21-30;Άνδρας;Φοιτητής/Φοιτήτρια;Μέτρια;Όχι;3;2;4;3;3;Ίσως;"Ταχύτερη ανάλυση δεδομένων;Καλύτερη διαχείριση κινδύνου;";"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Ευπάθεια σε τεχνικά σφάλματα ή παραβιάσεις;";Εξαρτάται από την περίπτωση;Και τα δύο εξίσου;"Γρήγορη ανάλυση δεδομένων;Ανίχνευση επενδυτικών ευκαιριών;";"Ερμηνεία μη ποσοτικών δεδομένων (π.χ. συναισθήματα της αγοράς);Λήψη ηθικών αποφάσεων;";Δεν είμαι σίγουρος/η;Ίσως;"Έλλειψη διαφάνειας στη λήψη αποφάσεων;Αδυναμία κατανόησης σύνθετων συνθηκών αγοράς;";Όχι, οι αποφάσεις της μπορεί να επηρεάζονται από προκαταλήψεις στα δεδομένα;Εξαρτάται από το κόστος;26-50%;4;4;4;3;Δεν είμαι σίγουρος/η
83;12/26/24 12:20:42;12/26/24 12:22:54;anonymous;;;31-40;Γυναίκα;Φοιτητής/Φοιτήτρια;Μέτρια;Όχι;4;3;4;5;3;Ίσως;"Καλύτερη διαχείριση κινδύνου;";"Εξάρτηση από δεδομένα του παρελθόντος;";Εξαρτάται από την περίπτωση;Έναν έμπειρο επενδυτή;"Ανίχνευση επενδυτικών ευκαιριών;";"Προσαρμογή σε μη αναμενόμενες καταστάσεις;";Ναι;Ναι;"Κίνδυνος τεχνικών σφαλμάτων;";Ναι, τις περισσότερες φορές;Όχι;26-50%;4;3;4;5;Δεν είμαι σίγουρος/η
